     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3823500 2818500  1  4 24   5.9 1004 277  6.4 7  5.1  86    0    0 328 -339  3
3823500 2818500  1  5  1   5.5 1004 283  4.8 6  4.9  86    0    0 310 -341  3
3823500 2818500  1  5  2   4.5 1006 279  4.7 3  4.6  84    0    0 275 -342  3
3823500 2818500  1  5  3   3.9 1007 266  3.8 2  4.4  85    0    0 238 -340  3
3823500 2818500  1  5  4   3.1 1008 247  2.5 1  4.3  88    0    0 213 -336  3
3823500 2818500  1  5  5   3.0 1009 245  1.9 1  4.2  88    0    0 202 -333  3
3823500 2818500  1  5  6   2.8 1009 241  2.7 1  4.1  88    0    0 206 -330  3
3823500 2818500  1  5  7   2.6 1010 236  2.6 1  4.1  88    0    0 214 -328  3
3823500 2818500  1  5  8   2.3 1011 243  2.8 1  4.1  90    0    0 218 -328  3
3823500 2818500  1  5  9   2.0 1011 222  2.3 2  4.0  91    0    0 229 -328  3
3823500 2818500  1  5 10   2.3 1012 215  2.1 3  4.1  92   15   37 243 -327  3
3823500 2818500  1  5 11   3.2 1012 219  2.7 5  4.2  92   66   64 262 -328  3
3823500 2818500  1  5 12   4.5 1012 225  2.8 4  4.3  86  110   85 269 -331  3
3823500 2818500  1  5 13   5.5 1012 227  3.0 4  4.4  82  144   82 264 -335  3
3823500 2818500  1  5 14   6.0 1012 222  3.1 5  4.4  77  126   78 271 -338  3
3823500 2818500  1  5 15   6.4 1012 206  2.1 5  4.4  74   85   61 278 -338  3
3823500 2818500  1  5 16   5.8 1011 197  2.0 6  4.4  74   25   35 280 -335  3
3823500 2818500  1  5 17   4.7 1011 190  1.5 7  4.4  79    0    3 286 -332  3
3823500 2818500  1  5 18   4.0 1011 193  2.5 7  4.3  84    0    0 289 -330  3
3823500 2818500  1  5 19   4.3 1011 198  2.9 6  4.4  85    0    0 282 -331  3
3823500 2818500  1  5 20   4.3 1010 187  2.7 6  4.4  84    0    0 280 -334  3
3823500 2818500  1  5 21   4.0 1010 181  1.8 4  4.3  84    0    0 270 -335  3
3823500 2818500  1  5 22   3.5 1010 179  1.5 3  4.3  86    0    0 255 -333  3
3823500 2818500  1  5 23   3.4 1010 181  1.6 3  4.3  88    0    0 251 -331  3
3823500 2818500  1  5 24   3.9 1010 183  1.3 3  4.3  87    0    0 253 -329  3
3823500 2818500  1  6  1   3.9 1009 180  1.7 0  4.3  86    0    0 239 -327  3
3823500 2818500  1  6  2   3.7 1009 185  1.8 0  4.3  86    0    0 225 -326  3
3823500 2818500  1  6  3   3.5 1009 184  2.2 0  4.3  87    0    0 225 -325  3
3823500 2818500  1  6  4   3.3 1009 191  1.9 0  4.3  88    0    0 227 -325  3
3823500 2818500  1  6  5   3.4 1008 189  2.1 0  4.3  89    0    0 227 -326  3
3823500 2818500  1  6  6   3.6 1008 192  2.2 0  4.4  89    0    0 226 -327  3
3823500 2818500  1  6  7   3.6 1008 184  2.8 2  4.4  89    0    0 236 -329  3
3823500 2818500  1  6  8   3.5 1008 187  1.8 4  4.4  89    0    0 253 -331  3
3823500 2818500  1  6  9   3.5 1007 178  1.7 5  4.3  88    0    0 264 -332  3
3823500 2818500  1  6 10   4.6 1007 180  2.6 5  4.5  88    0    0 269 -333  3
3823500 2818500  1  6 11   5.5 1007 181  2.8 5  4.6  85   57   70 270 -337  3
3823500 2818500  1  6 12   6.6 1007 182  3.0 4  4.7  80  129   86 267 -341  3
3823500 2818500  1  6 13   8.2 1007 199  3.2 5  4.9  76   90  108 270 -345  3
3823500 2818500  1  6 14   9.2 1006 198  3.2 7  5.1  72   12   93 290 -347  3
3823500 2818500  1  6 15   9.6 1006 197  3.2 7  5.2  70    3   62 303 -347  3
3823500 2818500  1  6 16   9.7 1005 210  2.8 6  5.2  69   12   34 301 -346  3
3823500 2818500  1  6 17   9.8 1005 226  2.7 7  5.2  69    0    2 305 -345  3
3823500 2818500  1  6 18   9.5 1006 234  2.7 7  5.2  70    0    0 313 -345  3
3823500 2818500  1  6 19   8.4 1006 242  3.3 8  5.4  76    0    0 319 -346  3
3823500 2818500  1  6 20   8.1 1007 239  2.6 7  5.8  85    0    0 322 -347  3
3823500 2818500  1  6 21   7.9 1007 224  1.6 8  5.8  87    0    0 323 -348  3
3823500 2818500  1  6 22   8.0 1008 221  2.2 8  5.8  86    0    0 331 -348  3
3823500 2818500  1  6 23   8.1 1008 232  2.3 8  5.8  86    0    0 334 -347  3
3823500 2818500  1  6 24   8.0 1009 233  1.9 8  5.9  87    0    0 335 -347  3
3823500 2818500  1  7  1   7.9 1009 235  1.7 8  5.8  87    0    0 334 -345  3
3823500 2818500  1  7  2   7.8 1009 240  1.5 8  5.8  88    0    0 334 -344  3
3823500 2818500  1  7  3   7.6 1010 234  1.7 8  5.9  89    0    0 334 -340  3
3823500 2818500  1  7  4   7.3 1011 229  1.9 7  5.8  89    0    0 325 -336  3
3823500 2818500  1  7  5   6.8 1011 232  1.7 6  5.6  89    0    0 307 -336  3
3823500 2818500  1  7  6   6.7 1011 236  1.7 6  5.5  89    0    0 298 -337  3
3823500 2818500  1  7  7   6.6 1012 237  2.5 7  5.5  90    0    0 303 -337  3
3823500 2818500  1  7  8   6.3 1012 234  1.9 6  5.4  90    0    0 299 -336  3
3823500 2818500  1  7  9   6.4 1013 229  1.9 6  5.4  90    0    0 290 -336  3
3823500 2818500  1  7 10   6.6 1013 232  1.8 7  5.4  89    6   33 294 -335  3
3823500 2818500  1  7 11   7.1 1014 231  2.5 7  5.4  87    5   61 302 -335  3
3823500 2818500  1  7 12   7.1 1014 227  2.6 8  5.2  83    0   33 310 -338  3
3823500 2818500  1  7 13   7.1 1013 231  3.6 8  5.1  81    0   36 317 -341  3
3823500 2818500  1  7 14   7.2 1013 230  3.7 7  5.0  80    0   50 310 -343  3
3823500 2818500  1  7 15   7.3 1012 222  2.9 7  5.0  78   41   65 302 -344  3
3823500 2818500  1  7 16   7.0 1012 222  2.7 6  4.9  78   16   30 293 -343  3
3823500 2818500  1  7 17   6.5 1012 224  3.1 7  4.8  78    0    6 289 -340  3
3823500 2818500  1  7 18   6.3 1012 213  2.1 6  4.7  78    0    0 287 -336  3
3823500 2818500  1  7 19   5.8 1012 211  2.2 4  4.7  80    0    0 271 -333  3
3823500 2818500  1  7 20   5.7 1011 215  1.9 3  4.6  81    0    0 255 -332  3
3823500 2818500  1  7 21   5.5 1011 213  1.9 3  4.6  81    0    0 250 -331  3
3823500 2818500  1  7 22   5.8 1011 241  2.1 5  4.5  80    0    0 260 -330  3
3823500 2818500  1  7 23   5.8 1011 234  4.0 6  4.5  78    0    0 275 -328  3
3823500 2818500  1  7 24   5.9 1011 216  4.0 5  4.5  78    0    0 275 -327  3
3823500 2818500  1  8  1   5.6 1010 210  3.7 4  4.4  77    0    0 266 -326  3
3823500 2818500  1  8  2   5.6 1010 206  3.4 4  4.4  77    0    0 263 -326  3
3823500 2818500  1  8  3   5.2 1009 210  3.6 3  4.3  77    0    0 260 -326  3
3823500 2818500  1  8  4   5.5 1009 205  4.1 5  4.3  78    0    0 268 -327  3
3823500 2818500  1  8  5   5.6 1009 212  3.3 6  4.4  77    0    0 287 -330  3
3823500 2818500  1  8  6   5.8 1008 201  3.8 7  4.3  76    0    0 300 -333  3
3823500 2818500  1  8  7   6.0 1008 209  4.8 7  4.3  74    0    0 309 -335  3
3823500 2818500  1  8  8   6.0 1008 210  4.2 7  4.3  74    0    0 311 -337  3
3823500 2818500  1  8  9   6.1 1008 218  4.1 7  4.4  75    0    0 313 -339  3
3823500 2818500  1  8 10   6.2 1008 216  4.2 7  4.5  76    0   29 314 -341  3
3823500 2818500  1  8 11   6.5 1008 219  4.5 6  4.6  77    2   63 310 -343  3
3823500 2818500  1  8 12   6.7 1008 221  4.8 6  4.7  77    1   81 305 -346  3
3823500 2818500  1  8 13   6.5 1008 225  4.5 7  4.8  79    0   74 311 -349  3
3823500 2818500  1  8 14   6.2 1008 223  3.9 7  5.0  84    0   63 317 -352  3
3823500 2818500  1  8 15   6.3 1008 218  3.5 7  5.3  88    0   41 317 -352  3
3823500 2818500  1  8 16   6.2 1008 226  3.0 8  5.4  91    0   13 324 -351  3
3823500 2818500  1  8 17   6.2 1009 225  3.3 8  5.5  93    0    0 329 -351  3
3823500 2818500  1  8 18   6.4 1009 229  2.6 7  5.6  94    0    0 323 -350  3
3823500 2818500  1  8 19   6.5 1010 238  2.6 8  5.7  95    0    0 324 -350  3
3823500 2818500  1  8 20   6.6 1010 231  2.2 7  5.7  94    0    0 324 -349  3
3823500 2818500  1  8 21   6.3 1010 239  2.1 7  5.6  92    0    0 317 -349  3
3823500 2818500  1  8 22   6.3 1010 249  1.6 6  5.4  91    0    0 310 -348  3
3823500 2818500  1  8 23   5.5 1011 239  1.6 6  5.2  90    0    0 301 -348  3
3823500 2818500  1  8 24   4.8 1011 254  1.2 5  5.0  91    0    0 293 -347  3
3823500 2818500  1  9  1   4.0 1011 257  0.6 3  4.8  92    0    0 273 -347  3
3823500 2818500  1  9  2   3.1 1011 207  0.8 3  4.6  94    0    0 259 -346  3
3823500 2818500  1  9  3   2.7 1011 208  0.9 3  4.4  94    0    0 255 -344  3
3823500 2818500  1  9  4   2.4 1012 216  1.2 4  4.4  97    0    0 258 -343  3
3823500 2818500  1  9  5   2.2 1012 206  1.8 5  4.5 100    0    0 268 -341  3
3823500 2818500  1  9  6   1.7 1012 188  1.1 6  4.3  99    0    0 276 -339  3
3823500 2818500  1  9  7   1.3 1012 181  0.8 2  4.2  99    0    0 256 -337  3
3823500 2818500  1  9  8   0.6 1012 213  0.6 3  4.0  98    0    0 236 -334  3
3823500 2818500  1  9  9   0.2 1013 185  0.9 4  3.8  98    0    0 243 -332  3
3823500 2818500  1  9 10   0.7 1014 202  0.6 5  3.9  99    4   42 253 -330  3
3823500 2818500  1  9 11   0.3 1015 208  0.1 4  3.9  99   44  100 251 -331  3
3823500 2818500  1  9 12   1.7 1015 237  0.4 4  4.1 100   44  137 245 -334  3
3823500 2818500  1  9 13   1.6 1015 251  0.7 6  4.3 100   29  140 259 -339  3
3823500 2818500  1  9 14   2.9 1016 281  0.6 7  4.5 100   22  124 280 -341  3
3823500 2818500  1  9 15   3.3 1016 291  0.8 5  4.7 100   32  100 278 -341  3
3823500 2818500  1  9 16   3.1 1016 291  0.6 6  4.6  97   17   51 273 -339  3
3823500 2818500  1  9 17   2.5 1017 253  0.4 5  4.4  94    1    8 272 -335  3
3823500 2818500  1  9 18   1.8 1018 201  0.4 6  4.3  96    0    0 269 -330  3
3823500 2818500  1  9 19   1.7 1018 201  0.5 7  4.3  99    0    0 277 -326  3
3823500 2818500  1  9 20   1.3 1019 225  0.5 7  4.2 100    0    0 280 -324  3
3823500 2818500  1  9 21   0.8 1020 229  0.5 6  4.1 100    0    0 274 -321  3
3823500 2818500  1  9 22   0.8 1021 226  0.3 6  3.9  99    0    0 270 -320  3
3823500 2818500  1  9 23   0.0 1021 227  0.3 6  3.8  99    0    0 271 -319  3
3823500 2818500  1  9 24  -0.1 1022 236  0.1 7  3.7 100    0    0 276 -319  3
3823500 2818500  1 10  1  -0.4 1023 225  0.4 8  3.7 100    0    0 286 -317  3
3823500 2818500  1 10  2  -0.7 1023 239  0.3 8  3.6 100    0    0 291 -315  3
3823500 2818500  1 10  3  -0.5 1023 216  0.6 8  3.6 100    0    0 291 -315  3
3823500 2818500  1 10  4  -0.7 1024 210  0.1 7  3.6 100    0    0 287 -314  3
3823500 2818500  1 10  5  -0.7 1024 195  0.6 8  3.6 100    0    0 284 -314  3
3823500 2818500  1 10  6  -0.9 1025 179  0.7 7  3.5 100    0    0 282 -314  3
3823500 2818500  1 10  7  -0.7 1025 186  1.0 6  3.5 100    0    0 271 -314  3
