     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3823500 2818500  1  7 13   7.6 1002 273  5.0 8  5.3  81    0   35 343 -351  1
3823500 2818500  1  7 14   7.5 1003 285  4.3 7  5.2  80    0   35 333 -351  1
3823500 2818500  1  7 15   7.4 1003 266  4.3 7  5.2  80    0   27 323 -349  1
3823500 2818500  1  7 16   6.5 1003 284  4.0 7  5.2  83    0   21 321 -347  1
3823500 2818500  1  7 17   5.7 1004 284  4.1 7  5.1  86    0    0 316 -344  1
3823500 2818500  1  7 18   6.1 1005 288  3.8 7  5.0  86    0    0 313 -342  1
3823500 2818500  1  7 19   6.0 1005 278  3.8 5  4.9  83    0    0 300 -341  1
3823500 2818500  1  7 20   6.0 1006 275  3.5 6  4.8  82    0    0 291 -339  1
3823500 2818500  1  7 21   6.2 1007 270  3.4 6  4.8  82    0    0 297 -337  1
3823500 2818500  1  7 22   6.0 1007 274  4.0 6  4.8  82    0    0 296 -336  1
3823500 2818500  1  7 23   6.0 1007 262  3.8 6  4.8  83    0    0 295 -336  1
3823500 2818500  1  7 24   6.0 1007 265  3.8 7  4.9  83    0    0 301 -336  1
3823500 2818500  1  8  1   6.2 1007 267  3.0 8  5.0  84    0    0 314 -336  1
3823500 2818500  1  8  2   6.3 1007 264  3.1 8  5.1  85    0    0 320 -337  1
3823500 2818500  1  8  3   6.2 1007 263  2.5 7  5.1  86    0    0 314 -337  1
3823500 2818500  1  8  4   6.4 1007 265  3.2 7  5.1  86    0    0 309 -337  1
3823500 2818500  1  8  5   6.4 1007 270  3.3 7  5.1  85    0    0 310 -337  1
3823500 2818500  1  8  6   6.5 1007 268  3.3 7  5.1  84    0    0 312 -337  1
3823500 2818500  1  8  7   6.4 1007 274  3.7 7  5.1  85    0    0 313 -336  1
3823500 2818500  1  8  8   6.4 1007 277  3.4 7  5.1  85    0    0 315 -336  1
3823500 2818500  1  8  9   6.1 1008 270  3.9 7  5.1  86    0    1 316 -335  1
3823500 2818500  1  8 10   6.5 1008 267  3.6 7  5.1  86    0   22 317 -335  1
3823500 2818500  1  8 11   6.7 1008 282  4.0 8  5.1  84    0   37 324 -336  1
3823500 2818500  1  8 12   6.7 1009 278  3.8 8  5.1  83    0   44 330 -339  1
3823500 2818500  1  8 13   6.8 1009 282  4.1 7  5.1  84    0   70 324 -342  1
3823500 2818500  1  8 14   7.0 1010 289  3.4 6  5.2  84   15   82 314 -345  1
3823500 2818500  1  8 15   6.8 1010 293  3.9 6  5.2  84   16   62 308 -346  1
3823500 2818500  1  8 16   6.2 1010 291  2.5 7  5.2  86   21   30 312 -345  1
3823500 2818500  1  8 17   5.9 1011 296  2.2 6  5.1  88    0    0 309 -343  1
3823500 2818500  1  8 18   6.0 1012 295  1.6 6  5.1  88    0    0 304 -340  1
3823500 2818500  1  8 19   6.0 1013 279  1.4 7  5.2  90    0    0 310 -337  1
3823500 2818500  1  8 20   5.7 1013 287  1.9 7  5.2  91    0    0 316 -334  1
3823500 2818500  1  8 21   5.7 1014 293  1.8 7  5.2  92    0    0 316 -332  1
3823500 2818500  1  8 22   5.8 1015 278  1.7 8  5.3  92    0    0 320 -330  1
