stunde_des_jahres,waermeverlust_kw
440,35.376
441,33.5
442,32.16
443,30.819999999999997
444,29.479999999999997
445,28.139999999999997
446,27.067999999999998
447,26.531999999999996
448,27.335999999999995
449,28.944
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,36.44799999999999
463,34.839999999999996
464,33.767999999999994
465,32.16
466,30.551999999999996
467,29.211999999999996
468,28.139999999999997
469,27.604
470,26.799999999999997
471,25.459999999999997
472,24.924
473,25.995999999999995
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,20.635999999999996
487,20.368
488,21.171999999999997
489,20.904
490,20.099999999999998
491,19.028
492,18.759999999999998
493,18.224
494,17.955999999999996
495,17.151999999999997
496,16.884
497,17.955999999999996
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,35.376
511,34.839999999999996
512,35.376
513,33.5
514,29.211999999999996
515,27.335999999999995
516,27.871999999999996
517,25.995999999999995
518,25.191999999999997
519,26.264
520,27.871999999999996
521,27.871999999999996
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,31.624
535,31.355999999999995
536,32.16
537,31.624
538,30.284
539,27.335999999999995
540,25.727999999999998
541,25.459999999999997
542,24.924
543,25.191999999999997
544,28.139999999999997
545,29.211999999999996
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,21.708
559,21.439999999999998
560,20.635999999999996
561,20.635999999999996
562,21.975999999999996
563,23.048
564,24.655999999999995
565,22.244
566,21.975999999999996
567,23.315999999999995
568,24.119999999999997
569,24.387999999999998
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,40.199999999999996
583,42.07599999999999
584,43.416
585,43.684
586,40.736
587,38.324
588,35.644
589,34.303999999999995
590,33.767999999999994
591,33.5
592,33.5
593,34.839999999999996
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,37.788
607,37.788
608,37.788
609,37.788
610,35.644
611,34.303999999999995
612,31.624
613,30.819999999999997
614,29.211999999999996
615,30.819999999999997
616,35.376
617,34.839999999999996
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,39.663999999999994
631,40.199999999999996
632,38.324
633,39.12799999999999
634,38.324
635,38.592
636,38.324
637,38.324
638,39.12799999999999
639,39.12799999999999
640,40.199999999999996
641,41.004
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,39.663999999999994
655,40.467999999999996
656,41.004
657,41.53999999999999
658,41.272
659,40.736
660,38.86
661,36.715999999999994
662,35.912
663,35.912
664,35.644
665,36.983999999999995
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,45.559999999999995
679,44.22
680,44.22
681,45.291999999999994
682,43.95199999999999
683,41.80799999999999
684,39.12799999999999
685,38.324
686,36.983999999999995
687,37.519999999999996
688,38.056
689,39.12799999999999
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,44.75599999999999
703,44.75599999999999
704,44.75599999999999
705,45.023999999999994
706,44.488
707,43.95199999999999
708,43.95199999999999
709,42.879999999999995
710,41.004
711,38.324
712,40.467999999999996
713,42.07599999999999
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,49.848
727,49.58
728,49.58
729,48.775999999999996
730,48.507999999999996
731,47.168
732,45.559999999999995
733,42.343999999999994
734,37.251999999999995
735,38.056
736,39.663999999999994
737,42.07599999999999
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,54.67199999999999
751,54.403999999999996
752,53.867999999999995
753,52.79599999999999
754,51.724
755,50.651999999999994
756,49.848
757,47.971999999999994
758,46.096
759,44.488
760,44.22
761,45.023999999999994
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,53.599999999999994
775,53.867999999999995
776,52.79599999999999
777,52.25999999999999
778,51.99199999999999
779,51.455999999999996
780,50.651999999999994
781,50.38399999999999
782,50.38399999999999
783,50.651999999999994
784,50.919999999999995
785,51.455999999999996
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,53.867999999999995
799,54.403999999999996
800,54.94
801,54.94
802,55.208
803,54.403999999999996
804,52.79599999999999
805,50.919999999999995
806,50.38399999999999
807,50.11599999999999
808,50.11599999999999
809,50.11599999999999
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,55.208
823,55.208
824,55.208
825,55.208
826,54.403999999999996
827,53.331999999999994
828,52.79599999999999
829,51.99199999999999
830,50.651999999999994
831,49.58
832,50.38399999999999
833,49.044
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,31.355999999999995
847,31.087999999999997
848,31.087999999999997
849,30.015999999999995
850,28.139999999999997
851,27.067999999999998
852,26.531999999999996
853,25.995999999999995
854,26.531999999999996
855,25.191999999999997
856,24.924
857,25.727999999999998
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,21.439999999999998
871,21.708
872,20.904
873,20.635999999999996
874,21.708
875,21.975999999999996
876,21.171999999999997
877,19.564
878,18.491999999999997
879,16.615999999999996
880,16.348
881,16.08
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,26.799999999999997
895,29.747999999999998
896,31.087999999999997
897,31.624
898,30.284
899,31.355999999999995
900,32.428
901,34.035999999999994
902,34.035999999999994
903,31.624
904,30.284
905,29.747999999999998
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,43.147999999999996
919,42.879999999999995
920,43.416
921,42.611999999999995
922,41.53999999999999
923,41.004
924,38.86
925,36.983999999999995
926,44.75599999999999
927,44.488
928,41.80799999999999
929,40.467999999999996
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,45.559999999999995
943,44.75599999999999
944,44.75599999999999
945,43.95199999999999
946,42.879999999999995
947,41.80799999999999
948,40.199999999999996
949,38.592
950,37.519999999999996
951,36.44799999999999
952,38.324
953,39.931999999999995
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,44.488
967,43.95199999999999
968,44.488
969,45.023999999999994
970,44.22
971,43.147999999999996
972,42.07599999999999
973,41.272
974,39.931999999999995
975,41.272
976,40.467999999999996
977,39.395999999999994
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,30.819999999999997
991,31.355999999999995
992,31.624
993,31.624
994,31.087999999999997
995,31.355999999999995
996,32.16
997,35.108
998,36.983999999999995
999,37.519999999999996
1000,37.519999999999996
1001,38.324
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,49.31199999999999
1015,49.044
1016,48.239999999999995
1017,47.70399999999999
1018,45.023999999999994
1019,41.53999999999999
1020,40.199999999999996
1021,39.12799999999999
1022,39.12799999999999
1023,40.199999999999996
1024,40.199999999999996
1025,39.663999999999994
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
