stunde_des_jahres,ventilatorleistung_kw
175,3.6363636363636362
176,3.6363636363636362
177,3.6363636363636362
178,3.6363636363636362
179,3.6363636363636362
180,3.6363636363636362
181,3.6363636363636362
182,3.6363636363636362
183,3.6363636363636362
184,3.6363636363636362
185,3.6363636363636362
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,3.6363636363636362
199,3.6363636363636362
200,3.6363636363636362
201,3.6363636363636362
202,3.6363636363636362
203,3.6363636363636362
204,3.6363636363636362
205,3.6363636363636362
206,3.6363636363636362
207,3.6363636363636362
208,3.6363636363636362
209,3.6363636363636362
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,3.6363636363636362
223,3.6363636363636362
224,3.6363636363636362
225,3.6363636363636362
226,3.6363636363636362
227,3.6363636363636362
228,3.6363636363636362
229,3.6363636363636362
230,3.6363636363636362
231,3.6363636363636362
232,3.6363636363636362
233,3.6363636363636362
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,3.6363636363636362
247,3.6363636363636362
248,3.6363636363636362
249,3.6363636363636362
250,3.6363636363636362
251,3.6363636363636362
252,3.6363636363636362
253,3.6363636363636362
254,3.6363636363636362
255,3.6363636363636362
256,3.6363636363636362
257,3.6363636363636362
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,3.6363636363636362
271,3.6363636363636362
272,3.6363636363636362
273,3.6363636363636362
274,3.6363636363636362
275,3.6363636363636362
276,3.6363636363636362
277,3.6363636363636362
278,3.6363636363636362
279,3.6363636363636362
280,3.6363636363636362
281,3.6363636363636362
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,3.6363636363636362
295,3.6363636363636362
296,3.6363636363636362
297,3.6363636363636362
298,3.6363636363636362
299,3.6363636363636362
300,3.6363636363636362
301,3.6363636363636362
302,3.6363636363636362
303,3.6363636363636362
304,3.6363636363636362
305,3.6363636363636362
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,3.6363636363636362
319,3.6363636363636362
320,3.6363636363636362
321,3.6363636363636362
322,3.6363636363636362
323,3.6363636363636362
324,3.6363636363636362
325,3.6363636363636362
326,3.6363636363636362
327,3.6363636363636362
328,3.6363636363636362
329,3.6363636363636362
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,3.6363636363636362
343,3.6363636363636362
344,3.6363636363636362
345,3.6363636363636362
346,3.6363636363636362
347,3.6363636363636362
348,3.6363636363636362
349,3.6363636363636362
350,3.6363636363636362
351,3.6363636363636362
352,3.6363636363636362
353,3.6363636363636362
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,3.6363636363636362
367,3.6363636363636362
368,3.6363636363636362
369,3.6363636363636362
370,3.6363636363636362
371,3.6363636363636362
372,3.6363636363636362
373,3.6363636363636362
374,3.6363636363636362
375,3.6363636363636362
376,3.6363636363636362
377,3.6363636363636362
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
