stunde_des_jahres,t
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,11.121999999999998
463,10.719999999999999
464,10.451999999999998
465,10.049999999999997
466,9.648
467,9.312999999999999
468,9.044999999999998
469,8.910999999999998
470,8.709999999999999
471,8.374999999999998
472,8.241
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,7.168999999999999
487,7.1019999999999985
488,7.302999999999999
489,7.235999999999999
490,7.034999999999998
491,6.766999999999999
492,6.699999999999998
493,6.565999999999999
494,6.498999999999998
495,6.297999999999999
496,6.231
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,10.853999999999997
511,10.719999999999999
512,10.853999999999997
513,10.384999999999998
514,9.312999999999999
515,8.843999999999998
516,8.977999999999998
517,8.508999999999999
518,8.308
519,8.575999999999999
520,8.977999999999998
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,9.915999999999999
535,9.848999999999997
536,10.049999999999997
537,9.915999999999999
538,9.581
539,8.843999999999998
540,8.441999999999998
541,8.374999999999998
542,8.241
543,8.308
544,9.044999999999998
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,11.456999999999999
607,11.456999999999999
608,11.456999999999999
609,11.456999999999999
610,10.920999999999998
611,10.585999999999999
612,9.915999999999999
613,9.714999999999998
614,9.312999999999999
615,9.714999999999998
616,10.853999999999997
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,11.925999999999998
631,12.059999999999997
632,11.591
633,11.791999999999998
634,11.591
635,11.657999999999998
636,11.591
637,11.591
638,11.791999999999998
639,11.791999999999998
640,12.059999999999997
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,11.925999999999998
655,12.126999999999999
656,12.260999999999997
657,12.394999999999998
658,12.327999999999996
659,12.193999999999997
660,11.724999999999998
661,11.188999999999997
662,10.987999999999996
663,10.987999999999996
664,10.920999999999998
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,13.399999999999997
679,13.064999999999998
680,13.064999999999998
681,13.332999999999997
682,12.997999999999996
683,12.462
684,11.791999999999998
685,11.591
686,11.255999999999998
687,11.389999999999999
688,11.523999999999997
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,13.198999999999996
703,13.198999999999996
704,13.198999999999996
705,13.265999999999998
706,13.131999999999998
707,12.997999999999996
708,12.997999999999996
709,12.729999999999999
710,12.260999999999997
711,11.591
712,12.126999999999999
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
